,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
23,Nate Longshore*\nate-longshore-1,California,Pac-10,13,227,377,60.2,3021,8.0,7.7,24,13,141.6,28,-47,-1.7,3
24,Bryan Cupito*\bryan-cupito-1,Minnesota,Big Ten,13,214,359,59.6,2819,7.9,7.9,22,9,140.8,37,-69,-1.9,0
25,Paul Thompson*\paul-thompson-1,Oklahoma,Big 12,14,204,336,60.7,2667,7.9,7.8,22,11,142.4,71,151,2.1,3
26,Riley Skinner*\riley-skinner-1,Wake Forest,ACC,14,171,260,65.8,2051,7.9,7.7,9,5,139.6,52,-71,-1.4,0
27,Chase Daniel*\chase-daniel-1,Missouri,Big 12,13,287,452,63.5,3527,7.8,8.0,28,10,145.1,147,379,2.6,4
28,Dan Lefevour*\dan-lefevour-1,Central Michigan,MAC,14,247,388,63.7,3031,7.8,8.0,26,10,146.2,132,521,3.9,7
29,Paul Smith*\paul-smith-2,Tulsa,CUSA,13,233,350,66.6,2727,7.8,7.5,15,9,141.0,101,288,2.9,8
30,Jeff Ballard*\jeff-ballard-1,Texas Christian,MWC,13,190,307,61.9,2394,7.8,7.9,13,5,138.1,110,423,3.8,8
31,John David Booty*\john-david-booty-1,USC,Pac-10,13,269,436,61.7,3347,7.7,8.1,29,9,144.0,33,-53,-1.6,1
32,Will Proctor*\will-proctor-1,Clemson,ACC,13,183,304,60.2,2353,7.7,7.2,16,11,135.3,61,85,1.4,1
33,Julian Edelman\julian-edelman-1,Kent State,MAC,11,134,242,55.4,1859,7.7,6.5,10,11,124.4,169,658,3.9,7
34,Rudy Carpenter*\rudy-carpenter-1,Arizona State,Pac-10,13,184,332,55.4,2523,7.6,7.1,23,14,133.7,84,69,0.8,0
35,Chad Henne*\chad-henne-1,Michigan,Big Ten,13,203,328,61.9,2508,7.6,7.9,22,8,143.4,47,-83,-1.8,0
36,Justin Willis\justin-willis-1,SMU,CUSA,11,182,270,67.4,2047,7.6,8.5,26,6,158.4,132,354,2.7,3
37,Curtis Painter*\curtis-painter-1,Purdue,Big Ten,14,315,530,59.4,3985,7.5,6.7,22,19,129.1,76,107,1.4,6
38,Drew Tate*\drew-tate-1,Iowa,Big Ten,11,207,352,58.8,2623,7.5,6.8,18,13,130.9,49,124,2.5,0
39,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,412,617,66.8,4555,7.4,7.8,38,11,145.5,32,-66,-2.1,2
40,Brady Quinn*\brady-quinn-1,Notre Dame,Ind,13,289,467,61.9,3426,7.3,8.2,37,7,146.7,82,71,0.9,2
41,Alex Brink\alex-brink-1,Washington State,Pac-10,12,241,396,60.9,2899,7.3,7.1,19,10,133.1,78,8,0.1,2
42,Stephen McGee*\stephen-mcgee-1,Texas A&M,Big 12,13,194,313,62.0,2295,7.3,7.8,12,2,134.9,146,666,4.6,4
43,Sean Glennon*\sean-glennon-1,Virginia Tech,ACC,13,170,302,56.3,2191,7.3,6.3,11,11,122.0,63,-81,-1.3,1
44,Dustin Grutza*\dustin-grutza-1,Cincinnati,Big East,12,137,225,60.9,1632,7.3,5.5,9,13,123.5,85,246,2.9,0
45,Brett Ratliff*\brett-ratliff-1,Utah,MWC,13,228,391,58.3,2796,7.2,7.3,23,9,133.2,98,260,2.7,1
46,Sam Hollenbach*\sam-hollenbach-1,Maryland,ACC,13,203,328,61.9,2371,7.2,6.6,15,11,131.0,51,10,0.2,2
47,Mike Teel*\mike-teel-1,Rutgers,Big East,13,164,296,55.4,2135,7.2,6.0,12,13,120.6,13,-50,-3.8,0
48,Phil Horvath*\phil-horvath-1,Northern Illinois,MAC,11,157,269,58.4,1932,7.2,6.5,11,9,125.5,31,-109,-3.5,0
49,Jeff Rowe*\jeff-rowe-1,Nevada,WAC,12,172,266,64.7,1907,7.2,7.1,17,8,140.0,93,208,2.2,4
50,Kinsmon Lancaster\kinsmon-lancaster-1,Louisiana-Monroe,Sun Belt,12,142,250,56.8,1789,7.2,5.2,7,14,115.0,111,333,3.0,5
51,Bernard Morris\bernard-morris-1,Marshall,CUSA,11,116,188,61.7,1346,7.2,5.1,8,12,123.1,82,324,4.0,2
52,John Parker Wilson*\john-parker-wilson-1,Alabama,SEC,13,216,379,57.0,2707,7.1,6.9,17,10,126.5,82,83,1.0,0
53,Caleb Hanie\caleb-hanie-1,Colorado State,MWC,12,209,342,61.1,2427,7.1,6.2,11,12,124.3,108,55,0.5,4
54,Chris Nickson\chris-nickson-1,Vanderbilt,SEC,12,160,292,54.8,2085,7.1,6.2,15,13,122.8,146,694,4.8,9
55,Lester Ricard\lester-ricard-1,Tulane,CUSA,12,229,400,57.3,2795,7.0,6.8,18,10,125.8,60,-112,-1.9,0
56,James Pinkney*\james-pinkney-1,East Carolina,CUSA,13,232,397,58.4,2783,7.0,6.5,12,10,122.3,105,216,2.1,4
57,Luke Getsy\luke-getsy-1,Akron,MAC,12,199,380,52.4,2662,7.0,6.7,18,11,121.1,58,-142,-2.4,0
58,Matt Ryan*\matt-ryan-1,Boston College,ACC,12,263,427,61.6,2942,6.9,6.5,15,10,126.4,51,-35,-0.7,4
59,Adam Dimichele\adam-dimichele-1,Temple,Ind,11,135,220,61.4,1518,6.9,5.4,10,12,123.4,73,-184,-2.5,0
60,Martin Hankins\martin-hankins-1,Memphis,CUSA,12,226,377,59.9,2550,6.8,6.2,18,13,125.6,33,-12,-0.4,0
61,Bret Meyer\bret-meyer-1,Iowa State,Big 12,12,211,374,56.4,2546,6.8,6.0,12,12,117.8,137,177,1.3,6
62,Zac Champion\zac-champion-1,Louisiana Tech,WAC,13,190,364,52.2,2466,6.8,5.3,14,18,111.9,68,88,1.3,1
63,Mike Kokal\mike-kokal-1,Miami (OH),MAC,11,208,355,58.6,2419,6.8,6.6,14,8,124.3,136,277,2.0,3
64,Steven Wichman\steven-wichman-1,Idaho,WAC,12,155,319,48.6,2158,6.8,5.3,8,14,104.9,52,33,0.6,1
65,Drew Weatherford*\drew-weatherford-1,Florida State,ACC,12,177,318,55.7,2154,6.8,6.0,12,11,118.1,57,-14,-0.2,1
66,Clint Marks*\clint-marks-1,Middle Tennessee State,Sun Belt,13,171,283,60.4,1917,6.8,5.9,8,9,120.3,52,-46,-0.9,1
67,Matthew Stafford*\matthew-stafford-1,Georgia,SEC,13,135,256,52.7,1749,6.8,5.1,7,13,109.0,47,191,4.1,3
68,Shawn Bell\shawn-bell-1,Baylor,Big 12,9,241,383,62.9,2582,6.7,6.6,19,10,130.7,27,-137,-5.1,0
69,Dennis Dixon*\dennis-dixon-1,Oregon,Pac-10,12,197,322,61.2,2143,6.7,5.4,12,14,120.7,94,442,4.7,2
70,Drew Stanton\drew-stanton-1,Michigan State,Big Ten,11,164,269,61.0,1807,6.7,5.9,12,10,124.7,110,445,4.0,5
71,Joe Dailey\joe-dailey-1,North Carolina,ACC,10,112,195,57.4,1316,6.7,5.2,7,10,115.7,50,61,1.2,1
72,Josh Freeman*\josh-freeman-1,Kansas State,Big 12,11,140,270,51.9,1780,6.6,4.5,6,15,103.5,54,-21,-0.4,2
73,Rusty Smith\rusty-smith-1,Florida Atlantic,Sun Belt,12,108,194,55.7,1285,6.6,5.4,6,8,113.3,25,-110,-4.4,0
74,Patrick Cowan*\patrick-cowan-1,UCLA,Pac-10,12,145,276,52.5,1782,6.5,5.8,11,9,113.4,54,108,2.0,2
75,Kellen Lewis\kellen-lewis-1,Indiana,Big Ten,11,190,346,54.9,2221,6.4,6.3,14,7,118.1,124,441,3.6,5
76,Chase Clement\chase-clement-2,Rice,CUSA,9,153,265,57.7,1707,6.4,7.2,21,5,134.2,107,481,4.5,4
77,Steven Moffett\steven-moffett-1,UCF,CUSA,10,119,215,55.3,1385,6.4,6.1,8,5,117.1,31,-7,-0.2,0
78,Anthony Morelli*\anthony-morelli-1,Penn State,Big Ten,13,208,386,53.9,2424,6.3,5.9,11,8,111.9,39,-88,-2.3,0
79,Thaddeus Lewis\thaddeus-lewis-2,Duke,ACC,12,180,340,52.9,2134,6.3,4.8,11,16,106.9,99,-74,-0.7,1
80,Jeremy Young*\jeremy-young-1,Southern Mississippi,CUSA,14,161,281,57.3,1769,6.3,6.2,12,6,120.0,81,224,2.8,4
81,Anthony Turner\anthony-turner-1,Bowling Green State,MAC,10,144,252,57.1,1596,6.3,6.3,11,5,120.8,141,480,3.4,5
82,Willie Tuitama\willie-tuitama-1,Arizona,Pac-10,10,118,211,55.9,1335,6.3,5.7,7,6,114.3,35,-166,-4.7,0
83,Perry Patterson\perry-patterson-1,Syracuse,Big East,12,158,300,52.7,1865,6.2,6.4,12,4,115.4,82,-174,-2.1,1
84,Karsten Sween\karsten-sween-1,Wyoming,MWC,9,128,212,60.4,1304,6.2,5.3,9,8,118.5,55,-88,-1.6,2
85,Omar Haugabook*\omar-haugabook-1,Troy,Sun Belt,13,241,393,61.3,2401,6.1,5.2,21,17,121.6,140,313,2.2,5
86,Rocky Hinds\rocky-hinds-1,UNLV,MWC,12,194,359,54.0,2148,6.0,4.8,8,13,104.4,49,-49,-1.0,1
87,Daniel Evans\daniel-evans-1,North Carolina State,ACC,12,163,307,53.1,1843,6.0,4.8,6,11,102.8,37,-13,-0.4,0
88,Reggie Ball*\reggie-ball-1,Georgia Tech,ACC,13,135,304,44.4,1820,6.0,5.2,20,14,107.2,122,354,2.9,2
89,Corey Leonard\corey-leonard-1,Arkansas State,Sun Belt,12,109,222,49.1,1321,6.0,5.0,8,8,103.8,116,331,2.9,2
90,Ryan Cubit*\ryan-cubit-1,Western Michigan,MAC,11,224,365,61.4,2138,5.9,5.1,16,13,117.9,34,-60,-1.8,0
91,Ryan Cubit*\ryan-cubit-2,Western Michigan,MAC,11,224,365,61.4,2138,5.9,5.1,16,13,117.9,34,-60,-1.8,0
92,Jerry Babb\jerry-babb-1,Louisiana,Sun Belt,12,140,262,53.4,1535,5.9,4.1,9,14,103.3,104,359,3.5,6
93,Brent Schaeffer\brent-schaeffer-1,Ole Miss,SEC,12,115,244,47.1,1442,5.9,4.8,9,10,100.7,94,100,1.1,1
94,Bernard Jackson\bernard-jackson-1,Colorado,Big 12,12,108,219,49.3,1298,5.9,5.1,7,7,103.3,155,677,4.4,7
95,Juice Williams\juice-williams-1,Illinois,Big Ten,12,103,261,39.5,1489,5.7,4.8,9,9,91.9,154,576,3.7,2
96,Tom Brandstater\tom-brandstater-1,Fresno State,WAC,11,146,268,54.5,1490,5.6,4.2,13,14,106.7,32,86,2.7,1
97,Andy Schmitt\andy-schmitt-1,Eastern Michigan,MAC,9,131,213,61.5,1182,5.5,4.5,2,6,105.6,107,461,4.3,4
98,Austen Everson*\austen-everson-1,Ohio,MAC,13,137,253,54.2,1356,5.4,4.5,7,8,102.0,104,357,3.4,2
99,Jameel Sewell\jameel-sewell-1,Virginia,ACC,11,143,247,57.9,1342,5.4,4.7,5,6,105.4,95,200,2.1,4
100,Josh Padrick\josh-padrick-1,Florida International,Sun Belt,12,213,388,54.9,2014,5.2,3.8,5,14,95.5,57,-146,-2.6,0
101,David Pevoto\david-pevoto-1,Army,Ind,10,106,193,54.9,1012,5.2,2.6,6,14,94.7,36,14,0.4,1
102,Aaron Opelt\aaron-opelt-1,Toledo,MAC,9,102,188,54.3,875,4.7,4.1,6,5,98.6,80,261,3.3,4
